CO_CURSO;SIGLA_IES;CO_IES;CO_GRUPO;NOME_CURSO;CO_MUNIC_CURSO;NOME_MUNIC_CURSO;CO_UF_CURSO
486;UFPI;5;23;Enfermagem;2211001;TERESINA;22
488;UFPI;5;28;Nutrição;2211001;TERESINA;22
504;UFPI;5;5;Medicina Veterinária;2211001;TERESINA;22
508;UFPI;5;17;Agronomia;2211001;TERESINA;22
512;UFPI;5;5710;Engenharia Civil;2211001;TERESINA;22
516;UFPI;5;19;Farmácia;2211001;TERESINA;22
517;UFPI;5;21;Arquitetura e Urbanismo;2211001;TERESINA;22
586;UFOP;6;5710;Engenharia Civil;3146107;OURO PRETO;31
590;UFOP;6;19;Farmácia;3146107;OURO PRETO;31
591;UFOP;6;28;Nutrição;3146107;OURO PRETO;31
615;UFSCAR;7;5710;Engenharia Civil;3548906;SAO CARLOS;35
619;UFSCAR;7;6008;Engenharia Química;3548906;SAO CARLOS;35
626;UFSCAR;7;23;Enfermagem;3548906;SAO CARLOS;35
627;UFSCAR;7;36;Fisioterapia;3548906;SAO CARLOS;35
632;UFSCAR;7;17;Agronomia;3503307;ARARAS;35
685;UFV;8;17;Agronomia;3171303;VICOSA;31
689;UFV;8;5710;Engenharia Civil;3171303;VICOSA;31
691;UFV;8;6002;Engenharia de Alimentos;3171303;VICOSA;31
692;UFV;8;6405;Engenharia Florestal;3171303;VICOSA;31
695;UFV;8;5;Medicina Veterinária;3171303;VICOSA;31
698;UFV;8;28;Nutrição;3171303;VICOSA;31
701;UFV;8;51;Zootecnia;3171303;VICOSA;31
704;UFV;8;21;Arquitetura e Urbanismo;3171303;VICOSA;31
750;UEL;9;21;Arquitetura e Urbanismo;4113700;LONDRINA;41
751;UEL;9;17;Agronomia;4113700;LONDRINA;41
758;UEL;9;12;Medicina;4113700;LONDRINA;41
759;UEL;9;36;Fisioterapia;4113700;LONDRINA;41
760;UEL;9;6;Odontologia;4113700;LONDRINA;41
761;UEL;9;19;Farmácia;4113700;LONDRINA;41
763;UEL;9;23;Enfermagem;4113700;LONDRINA;41
777;UEL;9;5;Medicina Veterinária;4113700;LONDRINA;41
863;PUCPR;10;5710;Engenharia Civil;4106902;CURITIBA;41
864;PUCPR;10;21;Arquitetura e Urbanismo;4106902;CURITIBA;41
867;PUCPR;10;23;Enfermagem;4106902;CURITIBA;41
868;PUCPR;10;12;Medicina;4106902;CURITIBA;41
869;PUCPR;10;6;Odontologia;4106902;CURITIBA;41
870;PUCPR;10;36;Fisioterapia;4106902;CURITIBA;41
872;PUCPR;10;6411;Engenharia de Computação I;4106902;CURITIBA;41
881;PUCPR;10;5806;Engenharia Elétrica;4106902;CURITIBA;41
884;PUCPR;10;5902;Engenharia Mecânica;4106902;CURITIBA;41
885;PUCPR;10;6008;Engenharia Química;4106902;CURITIBA;41
953;UNICAP;11;27;Fonoaudiologia;2611606;RECIFE;26
964;UNICAP;11;5710;Engenharia Civil;2611606;RECIFE;26
970;UNICAP;11;6008;Engenharia Química;2611606;RECIFE;26
1026;FURG;12;12;Medicina;4315602;RIO GRANDE;43
1038;FURG;12;5710;Engenharia Civil;4315602;RIO GRANDE;43
1039;FURG;12;5902;Engenharia Mecânica;4315602;RIO GRANDE;43
1040;FURG;12;6008;Engenharia Química;4315602;RIO GRANDE;43
1043;FURG;12;23;Enfermagem;4315602;RIO GRANDE;43
1045;FURG;12;6002;Engenharia de Alimentos;4315602;RIO GRANDE;43
1107;UCS;13;12;Medicina;4305108;CAXIAS DO SUL;43
1140;UCS;13;21;Arquitetura e Urbanismo;4305108;CAXIAS DO SUL;43
1225;UNISINOS;14;23;Enfermagem;4318705;SAO LEOPOLDO;43
1227;UNISINOS;14;28;Nutrição;4318705;SAO LEOPOLDO;43
1237;UNISINOS;14;21;Arquitetura e Urbanismo;4318705;SAO LEOPOLDO;43
1318;UCP;15;5806;Engenharia Elétrica;3303906;PETROPOLIS;33
1319;UCP;15;5902;Engenharia Mecânica;3303906;PETROPOLIS;33
1322;UCP;15;36;Fisioterapia;3303906;PETROPOLIS;33
1433;UFU;17;17;Agronomia;3170206;UBERLANDIA;31
1439;UFU;17;12;Medicina;3170206;UBERLANDIA;31
1440;UFU;17;5;Medicina Veterinária;3170206;UBERLANDIA;31
1441;UFU;17;6;Odontologia;3170206;UBERLANDIA;31
1448;UFU;17;5710;Engenharia Civil;3170206;UBERLANDIA;31
1449;UFU;17;5806;Engenharia Elétrica;3170206;UBERLANDIA;31
1450;UFU;17;5902;Engenharia Mecânica;3170206;UBERLANDIA;31
1451;UFU;17;6008;Engenharia Química;3170206;UBERLANDIA;31
1511;UCPEL;18;5710;Engenharia Civil;4314407;PELOTAS;43
1518;UCPEL;18;12;Medicina;4314407;PELOTAS;43
1534;UCPEL;18;21;Arquitetura e Urbanismo;4314407;PELOTAS;43
1627;PUC-CAMPINAS;19;23;Enfermagem;3509502;CAMPINAS;35
1628;PUC-CAMPINAS;19;36;Fisioterapia;3509502;CAMPINAS;35
1629;PUC-CAMPINAS;19;12;Medicina;3509502;CAMPINAS;35
1630;PUC-CAMPINAS;19;28;Nutrição;3509502;CAMPINAS;35
1631;PUC-CAMPINAS;19;6;Odontologia;3509502;CAMPINAS;35
1634;PUC-CAMPINAS;19;21;Arquitetura e Urbanismo;3509502;CAMPINAS;35
1635;PUC-CAMPINAS;19;5710;Engenharia Civil;3509502;CAMPINAS;35
1644;PUC-CAMPINAS;19;27;Fonoaudiologia;3509502;CAMPINAS;35
1718;UPF;20;5902;Engenharia Mecânica;4314100;PASSO FUNDO;43
1725;UPF;20;12;Medicina;4314100;PASSO FUNDO;43
1726;UPF;20;6;Odontologia;4314100;PASSO FUNDO;43
1727;UPF;20;23;Enfermagem;4314100;PASSO FUNDO;43
1728;UPF;20;17;Agronomia;4314100;PASSO FUNDO;43
1786;UPF;20;21;Arquitetura e Urbanismo;4314100;PASSO FUNDO;43
1879;PUCRS;21;12;Medicina;4314902;PORTO ALEGRE;43
1883;PUCRS;21;6;Odontologia;4314902;PORTO ALEGRE;43
1886;PUCRS;21;5710;Engenharia Civil;4314902;PORTO ALEGRE;43
1914;PUCRS;21;5902;Engenharia Mecânica;4314902;PORTO ALEGRE;43
1915;PUCRS;21;6008;Engenharia Química;4314902;PORTO ALEGRE;43
1916;PUCRS;21;5806;Engenharia Elétrica;4314902;PORTO ALEGRE;43
1924;PUCRS;21;19;Farmácia;4314902;PORTO ALEGRE;43
1925;PUCRS;21;5814;Engenharia de Controle e Automação;4314902;PORTO ALEGRE;43
2016;MACKENZIE;22;21;Arquitetura e Urbanismo;3550308;SAO PAULO;35
2023;MACKENZIE;22;5710;Engenharia Civil;3550308;SAO PAULO;35
2024;MACKENZIE;22;5902;Engenharia Mecânica;3550308;SAO PAULO;35
2089;FEEVALE;23;36;Fisioterapia;4313409;NOVO HAMBURGO;43
2112;UESC;24;23;Enfermagem;2913606;ILHEUS;29
2113;UESC;24;17;Agronomia;2913606;ILHEUS;29
2133;UFAM;4;23;Enfermagem;1302603;MANAUS;13
2147;;27;6;Odontologia;3169307;TRES CORACOES;31
2191;UECE;29;5;Medicina Veterinária;2304400;FORTALEZA;23
2192;UECE;29;23;Enfermagem;2304400;FORTALEZA;23
2202;UECE;29;28;Nutrição;2304400;FORTALEZA;23
2295;UNIFENAS;30;5;Medicina Veterinária;3101607;ALFENAS;31
2297;UNIFENAS;30;6;Odontologia;3101607;ALFENAS;31
2298;UNIFENAS;30;17;Agronomia;3101607;ALFENAS;31
2304;UNIFENAS;30;12;Medicina;3101607;ALFENAS;31
2350;UNCISAL;32;27;Fonoaudiologia;2704302;MACEIO;27
2351;UNCISAL;32;36;Fisioterapia;2704302;MACEIO;27
2442;UNEB;40;17;Agronomia;2918407;JUAZEIRO;29
2451;UNEB;40;28;Nutrição;2927408;SALVADOR;29
2534;UDESC;43;5806;Engenharia Elétrica;4209102;JOINVILLE;42
2535;UDESC;43;5;Medicina Veterinária;4209300;LAGES;42
2536;UDESC;43;17;Agronomia;4209300;LAGES;42
2537;UDESC;43;5902;Engenharia Mecânica;4209102;JOINVILLE;42
2538;UDESC;43;5710;Engenharia Civil;4209102;JOINVILLE;42
2544;UDESC;43;36;Fisioterapia;4205407;FLORIANOPOLIS;42
2586;FEPI;1869;5710;Engenharia Civil;3132404;ITAJUBA;31
2656;UNIS-MG;3368;5902;Engenharia Mecânica;3170701;VARGINHA;31
2689;UNICAMP;54;6008;Engenharia Química;3509502;CAMPINAS;35
2690;UNICAMP;54;5902;Engenharia Mecânica;3509502;CAMPINAS;35
2691;UNICAMP;54;5806;Engenharia Elétrica;3509502;CAMPINAS;35
2692;UNICAMP;54;5710;Engenharia Civil;3509502;CAMPINAS;35
2693;UNICAMP;54;6002;Engenharia de Alimentos;3509502;CAMPINAS;35
2694;UNICAMP;54;6;Odontologia;3538709;PIRACICABA;35
2695;UNICAMP;54;12;Medicina;3509502;CAMPINAS;35
2701;UNICAMP;54;23;Enfermagem;3509502;CAMPINAS;35
2712;UNICAMP;54;6411;Engenharia de Computação I;3509502;CAMPINAS;35
2720;UNICAMP;54;6002;Engenharia de Alimentos;3509502;CAMPINAS;35
2721;UNICAMP;54;5806;Engenharia Elétrica;3509502;CAMPINAS;35
2723;UNICAMP;54;6008;Engenharia Química;3509502;CAMPINAS;35
3127;UNESP;56;6;Odontologia;3503208;ARARAQUARA;35
3128;UNESP;56;19;Farmácia;3503208;ARARAQUARA;35
3138;UNESP;56;51;Zootecnia;3524303;JABOTICABAL;35
3139;UNESP;56;17;Agronomia;3524303;JABOTICABAL;35
3140;UNESP;56;5;Medicina Veterinária;3524303;JABOTICABAL;35
3148;UNESP;56;12;Medicina;3507506;BOTUCATU;35
3151;UNESP;56;17;Agronomia;3507506;BOTUCATU;35
3156;UNESP;56;6002;Engenharia de Alimentos;3549805;SAO JOSE DO RIO PRETO;35
3159;UNESP;56;5806;Engenharia Elétrica;3520442;ILHA SOLTEIRA;35
3160;UNESP;56;17;Agronomia;3520442;ILHA SOLTEIRA;35
3161;UNESP;56;6;Odontologia;3502804;ARACATUBA;35
3173;UNESP;56;6;Odontologia;3549904;SAO JOSE DOS CAMPOS;35
3174;UNESP;56;5806;Engenharia Elétrica;3518404;GUARATINGUETA;35
3176;UNESP;56;5;Medicina Veterinária;3507506;BOTUCATU;35
3177;UNESP;56;51;Zootecnia;3507506;BOTUCATU;35
3191;UNESP;56;6405;Engenharia Florestal;3507506;BOTUCATU;35
3194;UNESP;56;5710;Engenharia Civil;3506003;BAURU;35
3195;UNESP;56;6208;Engenharia de Produção;3518404;GUARATINGUETA;35
3196;UNESP;56;5902;Engenharia Mecânica;3506003;BAURU;35
3202;UNESP;56;21;Arquitetura e Urbanismo;3506003;BAURU;35
3206;UNESP;56;36;Fisioterapia;3541406;PRESIDENTE PRUDENTE;35
3215;UNESP;56;23;Enfermagem;3507506;BOTUCATU;35
3220;UNESP;56;27;Fonoaudiologia;3529005;MARILIA;35
3221;UNESP;56;5;Medicina Veterinária;3502804;ARACATUBA;35
3402;UEM;57;5710;Engenharia Civil;4115200;MARINGA;41
3403;UEM;57;6008;Engenharia Química;4115200;MARINGA;41
3411;UEM;57;19;Farmácia;4115200;MARINGA;41
3412;UEM;57;51;Zootecnia;4115200;MARINGA;41
3413;UEM;57;17;Agronomia;4115200;MARINGA;41
3417;UEM;57;6;Odontologia;4115200;MARINGA;41
3418;UEM;57;12;Medicina;4115200;MARINGA;41
3527;UNIFEB;3641;6;Odontologia;3505500;BARRETOS;35
3530;EEP/FUMEP;67;5710;Engenharia Civil;3538709;PIRACICABA;35
3532;EEP/FUMEP;67;6307;Engenharia Ambiental;3538709;PIRACICABA;35
3564;UERN;71;23;Enfermagem;2408003;MOSSORO;24
3641;UNESPAR;18492;23;Enfermagem;4118402;PARANAVAI;41
3668;FURB;76;5710;Engenharia Civil;4202404;BLUMENAU;42
3669;FURB;76;6008;Engenharia Química;4202404;BLUMENAU;42
3677;FURB;76;12;Medicina;4202404;BLUMENAU;42
3678;FURB;76;5806;Engenharia Elétrica;4202404;BLUMENAU;42
3681;FURB;76;21;Arquitetura e Urbanismo;4202404;BLUMENAU;42
3683;FURB;76;36;Fisioterapia;4202404;BLUMENAU;42
3684;FURB;76;6405;Engenharia Florestal;4202404;BLUMENAU;42
3851;UNOCHAPECÓ;3151;17;Agronomia;4204202;CHAPECO;42
3932;UNIVALI;83;6;Odontologia;4208203;ITAJAI;42
3936;UNIVALI;83;27;Fonoaudiologia;4208203;ITAJAI;42
3947;UNIVALI;83;36;Fisioterapia;4208203;ITAJAI;42
3948;UNIVALI;83;21;Arquitetura e Urbanismo;4202008;BALNEARIO CAMBORIU;42
3949;UNIVALI;83;28;Nutrição;4208203;ITAJAI;42
4056;UENP;15015;17;Agronomia;4102406;BANDEIRANTES;41
4068;FESURV;3974;17;Agronomia;5218805;RIO VERDE;52
4082;FMJ;93;12;Medicina;3525904;JUNDIAI;35
4087;UVA;95;23;Enfermagem;2312908;SOBRAL;23
4104;UVA;95;51;Zootecnia;2312908;SOBRAL;23
4144;CESEP;3972;17;Agronomia;3139003;MACHADO;31
4192;UFSJ;107;5806;Engenharia Elétrica;3162500;SAO JOAO DEL REI;31
4198;UFSJ;107;5902;Engenharia Mecânica;3162500;SAO JOAO DEL REI;31
4308;FIAR;1569;5710;Engenharia Civil;3503208;ARARAQUARA;35
4375;CLARETIANOBT;135;36;Fisioterapia;3505906;BATATAIS;35
4399;UNISAGRADO;137;19;Farmácia;3506003;BAURU;35
4407;UNISAGRADO;137;23;Enfermagem;3506003;BAURU;35
4408;UNISAGRADO;137;28;Nutrição;3506003;BAURU;35
4415;UNISAGRADO;137;6;Odontologia;3506003;BAURU;35
4418;UNISAGRADO;137;36;Fisioterapia;3506003;BAURU;35
4503;UNIVASSOURAS;140;12;Medicina;3306206;VASSOURAS;33
4505;UNIVASSOURAS;140;5806;Engenharia Elétrica;3306206;VASSOURAS;33
4535;UNITRI;142;36;Fisioterapia;3170206;UBERLANDIA;31
4545;UNITRI;142;21;Arquitetura e Urbanismo;3170206;UBERLANDIA;31
4585;UNIUBE;143;6;Odontologia;3170107;UBERABA;31
4588;UNIUBE;143;5710;Engenharia Civil;3170107;UBERABA;31
4601;UNIUBE;143;5806;Engenharia Elétrica;3170107;UBERABA;31
4602;UNIUBE;143;21;Arquitetura e Urbanismo;3170107;UBERABA;31
4679;UNIRP;146;5;Medicina Veterinária;3549805;SAO JOSE DO RIO PRETO;35
4720;FAMERP;149;12;Medicina;3549805;SAO JOSE DO RIO PRETO;35
4721;FAMERP;149;23;Enfermagem;3549805;SAO JOSE DO RIO PRETO;35
4887;FEBASP;162;21;Arquitetura e Urbanismo;3550308;SAO PAULO;35
4938;UNESA;163;5806;Engenharia Elétrica;3304557;RIO DE JANEIRO;33
4940;UNESA;163;36;Fisioterapia;3304557;RIO DE JANEIRO;33
4959;UNESA;163;5;Medicina Veterinária;3304557;RIO DE JANEIRO;33
4960;UNESA;163;21;Arquitetura e Urbanismo;3304557;RIO DE JANEIRO;33
4966;UNESA;163;36;Fisioterapia;3303401;NOVA FRIBURGO;33
5066;UVA;165;5710;Engenharia Civil;3304557;RIO DE JANEIRO;33
5068;UVA;165;5806;Engenharia Elétrica;3304557;RIO DE JANEIRO;33
5075;UVA;165;27;Fonoaudiologia;3304557;RIO DE JANEIRO;33
5117;UMESP;167;6;Odontologia;3548708;SAO BERNARDO DO CAMPO;35
5133;UMESP;167;5;Medicina Veterinária;3548708;SAO BERNARDO DO CAMPO;35
5206;UNIVÁS;1586;12;Medicina;3152501;POUSO ALEGRE;31
5221;UCB;176;36;Fisioterapia;3304557;RIO DE JANEIRO;33
5277;ASCES-UNITA;2409;6;Odontologia;2604106;CARUARU;26
5283;UNILAVRAS;3372;6;Odontologia;3138203;LAVRAS;31
5284;UNILAVRAS;3372;36;Fisioterapia;3138203;LAVRAS;31
5345;EMSM;190;12;Medicina;3304557;RIO DE JANEIRO;33
5367;FESM;193;5710;Engenharia Civil;3304557;RIO DE JANEIRO;33
5368;FESM;193;5902;Engenharia Mecânica;3304557;RIO DE JANEIRO;33
5480;USJT;203;21;Arquitetura e Urbanismo;3550308;SAO PAULO;35
5486;USJT;203;5710;Engenharia Civil;3550308;SAO PAULO;35
5488;USJT;203;5806;Engenharia Elétrica;3550308;SAO PAULO;35
5496;USJT;203;28;Nutrição;3550308;SAO PAULO;35
5500;USJT;203;6411;Engenharia de Computação I;3550308;SAO PAULO;35
5584;CUML;207;5710;Engenharia Civil;3543402;RIBEIRAO PRETO;35
5586;CUML;207;21;Arquitetura e Urbanismo;3543402;RIBEIRAO PRETO;35
5623;UNAERP;208;6;Odontologia;3543402;RIBEIRAO PRETO;35
5625;UNAERP;208;6008;Engenharia Química;3543402;RIBEIRAO PRETO;35
5734;Anhanguera SP;376;36;Fisioterapia;3547809;SANTO ANDRE;35
5738;Anhanguera SP;376;21;Arquitetura e Urbanismo;3547809;SANTO ANDRE;35
5741;Anhanguera SP;376;23;Enfermagem;3547809;SANTO ANDRE;35
5742;Anhanguera SP;376;28;Nutrição;3547809;SANTO ANDRE;35
5743;Anhanguera SP;376;6208;Engenharia de Produção;3547809;SANTO ANDRE;35
5843;UNICSUL;221;5902;Engenharia Mecânica;3550308;SAO PAULO;35
5844;UNICSUL;221;5710;Engenharia Civil;3550308;SAO PAULO;35
5909;FMABC;224;12;Medicina;3547809;SANTO ANDRE;35
5920;UNILUS;226;12;Medicina;3548500;SANTOS;35
5925;UNILUS;226;27;Fonoaudiologia;3548500;SANTOS;35
5955;UNISANTOS;227;5710;Engenharia Civil;3548500;SANTOS;35
5956;UNISANTOS;227;21;Arquitetura e Urbanismo;3548500;SANTOS;35
5963;UNISANTOS;227;23;Enfermagem;3548500;SANTOS;35
5966;UNISANTOS;227;19;Farmácia;3548500;SANTOS;35
6063;FOC;234;19;Farmácia;3550308;SAO PAULO;35
6113;UNIFEOB;1836;5;Medicina Veterinária;3549102;SAO JOAO DA BOA VISTA;35
6116;USU;240;21;Arquitetura e Urbanismo;3304557;RIO DE JANEIRO;33
6122;USU;240;28;Nutrição;3304557;RIO DE JANEIRO;33
6128;USU;240;5806;Engenharia Elétrica;3304557;RIO DE JANEIRO;33
6129;USU;240;5710;Engenharia Civil;3304557;RIO DE JANEIRO;33
6130;USU;240;5902;Engenharia Mecânica;3304557;RIO DE JANEIRO;33
6182;FCNM;243;36;Fisioterapia;3530607;MOGI DAS CRUZES;35
6397;UNIMEP;266;36;Fisioterapia;3538709;PIRACICABA;35
6398;UNIMEP;266;28;Nutrição;3538709;PIRACICABA;35
6483;UNOESTE;271;6;Odontologia;3541406;PRESIDENTE PRUDENTE;35
6485;UNOESTE;271;36;Fisioterapia;3541406;PRESIDENTE PRUDENTE;35
6486;UNOESTE;271;19;Farmácia;3541406;PRESIDENTE PRUDENTE;35
6487;UNOESTE;271;28;Nutrição;3541406;PRESIDENTE PRUDENTE;35
6488;UNOESTE;271;5710;Engenharia Civil;3541406;PRESIDENTE PRUDENTE;35
6489;UNOESTE;271;23;Enfermagem;3541406;PRESIDENTE PRUDENTE;35
6490;UNOESTE;271;17;Agronomia;3541406;PRESIDENTE PRUDENTE;35
6495;UNOESTE;271;51;Zootecnia;3541406;PRESIDENTE PRUDENTE;35
6496;UNOESTE;271;12;Medicina;3541406;PRESIDENTE PRUDENTE;35
6497;UNOESTE;271;5;Medicina Veterinária;3541406;PRESIDENTE PRUDENTE;35
6560;;5669;5902;Engenharia Mecânica;3549904;SAO JOSE DOS CAMPOS;35
6569;UNIVAP;275;5710;Engenharia Civil;3549904;SAO JOSE DOS CAMPOS;35
6574;UNIVAP;275;21;Arquitetura e Urbanismo;3549904;SAO JOSE DOS CAMPOS;35
6583;UNIVAP;275;6;Odontologia;3549904;SAO JOSE DOS CAMPOS;35
6629;UNISUAM;277;5710;Engenharia Civil;3304557;RIO DE JANEIRO;33
6631;UNISUAM;277;36;Fisioterapia;3304557;RIO DE JANEIRO;33
6711;FMIT;284;12;Medicina;3132404;ITAJUBA;31
6737;FGG;5318;36;Fisioterapia;4209102;JOINVILLE;42
6806;;296;17;Agronomia;4301602;BAGE;43
6807;;296;5;Medicina Veterinária;4301602;BAGE;43
6816;;296;21;Arquitetura e Urbanismo;4301602;BAGE;43
6817;;296;36;Fisioterapia;4301602;BAGE;43
6848;;296;23;Enfermagem;4301602;BAGE;43
7105;FAME;307;12;Medicina;3105608;BARBACENA;31
7195;UB;319;6;Odontologia;3550308;SAO PAULO;35
7210;UB;319;5;Medicina Veterinária;3515509;FERNANDOPOLIS;35
7269;UNIP;322;6;Odontologia;3550308;SAO PAULO;35
7273;UNIP;322;21;Arquitetura e Urbanismo;3550308;SAO PAULO;35
7278;UNIP;322;5;Medicina Veterinária;3550308;SAO PAULO;35
7302;UNIP;322;21;Arquitetura e Urbanismo;3509502;CAMPINAS;35
7305;UNIP;322;21;Arquitetura e Urbanismo;3543402;RIBEIRAO PRETO;35
7376;UI;1128;5902;Engenharia Mecânica;3133808;ITAUNA;31
7399;UI;1128;6;Odontologia;3133808;ITAUNA;31
7403;ESAPP;1221;17;Agronomia;3535507;PARAGUACU PAULISTA;35
7414;UNIG;330;12;Medicina;3303500;NOVA IGUACU;33
7415;UNIG;330;6;Odontologia;3303500;NOVA IGUACU;33
7419;UNIG;330;36;Fisioterapia;3303500;NOVA IGUACU;33
7447;UNILINS;1846;5710;Engenharia Civil;3527108;LINS;35
7491;PUC MINAS;338;23;Enfermagem;3106200;BELO HORIZONTE;31
7492;PUC MINAS;338;6;Odontologia;3106200;BELO HORIZONTE;31
7494;PUC MINAS;338;5710;Engenharia Civil;3106200;BELO HORIZONTE;31
7495;PUC MINAS;338;5806;Engenharia Elétrica;3106200;BELO HORIZONTE;31
7515;PUC MINAS;338;21;Arquitetura e Urbanismo;3106200;BELO HORIZONTE;31
7521;PUC MINAS;338;5902;Engenharia Mecânica;3106200;BELO HORIZONTE;31
7524;PUC MINAS;338;5814;Engenharia de Controle e Automação;3106200;BELO HORIZONTE;31
7571;;339;23;Enfermagem;2507507;JOAO PESSOA;25
7632;EEK;345;5710;Engenharia Civil;3106200;BELO HORIZONTE;31
7676;FCMMG;351;12;Medicina;3106200;BELO HORIZONTE;31
7677;FCMMG;351;36;Fisioterapia;3106200;BELO HORIZONTE;31
7705;FEMPAR;353;12;Medicina;4106902;CURITIBA;41
7712;UTP;355;27;Fonoaudiologia;4106902;CURITIBA;41
7713;UTP;355;36;Fisioterapia;4106902;CURITIBA;41
7716;UTP;355;6;Odontologia;4106902;CURITIBA;41
7837;UNIMONTES;367;12;Medicina;3143302;MONTES CLAROS;31
7841;UNIMONTES;367;23;Enfermagem;3143302;MONTES CLAROS;31
7843;UNIMONTES;367;17;Agronomia;3135100;JANAUBA;31
8062;UNAMA;383;21;Arquitetura e Urbanismo;1501402;BELEM;15
8063;UNAMA;383;5710;Engenharia Civil;1501402;BELEM;15
8100;UniEVANGÉLICA;384;6;Odontologia;5201108;ANAPOLIS;52
8163;UCDB;387;36;Fisioterapia;5002704;CAMPO GRANDE;50
8170;UCDB;387;6411;Engenharia de Computação I;5002704;CAMPO GRANDE;50
8264;UNIT;398;21;Arquitetura e Urbanismo;2800308;ARACAJU;28
8266;UNIT;398;36;Fisioterapia;2800308;ARACAJU;28
8414;UPE;409;6;Odontologia;2611606;RECIFE;26
8427;UPE;409;23;Enfermagem;2611606;RECIFE;26
8434;UPE;409;5710;Engenharia Civil;2611606;RECIFE;26
8437;UPE;409;12;Medicina;2611606;RECIFE;26
8475;FCHE;410;21;Arquitetura e Urbanismo;2611606;RECIFE;26
8554;FCMSCSP;415;12;Medicina;3550308;SAO PAULO;35
8576;UNICID;417;36;Fisioterapia;3550308;SAO PAULO;35
8579;UNICID;417;6;Odontologia;3550308;SAO PAULO;35
8582;UNICID;417;23;Enfermagem;3550308;SAO PAULO;35
8666;UNIMAR;420;6;Odontologia;3529005;MARILIA;35
8669;UNIMAR;420;5;Medicina Veterinária;3529005;MARILIA;35
8675;UNIMAR;420;36;Fisioterapia;3529005;MARILIA;35
8676;UNIMAR;420;28;Nutrição;3529005;MARILIA;35
8677;UNIMAR;420;17;Agronomia;3529005;MARILIA;35
8683;UNIMAR;420;21;Arquitetura e Urbanismo;3529005;MARILIA;35
8686;UNIMAR;420;5710;Engenharia Civil;3529005;MARILIA;35
8687;UNIMAR;420;5806;Engenharia Elétrica;3529005;MARILIA;35
8688;UNIMAR;420;6208;Engenharia de Produção;3529005;MARILIA;35
8689;UNIMAR;420;23;Enfermagem;3529005;MARILIA;35
8698;UNIMAR;420;12;Medicina;3529005;MARILIA;35
8784;URI;423;5710;Engenharia Civil;4317509;SANTO ANGELO;43
8785;URI;423;5902;Engenharia Mecânica;4317509;SANTO ANGELO;43
8929;UFN;426;23;Enfermagem;4316907;SANTA MARIA;43
8939;UNIFIL;430;21;Arquitetura e Urbanismo;4113700;LONDRINA;41
8940;UNIFIL;430;23;Enfermagem;4113700;LONDRINA;41
8946;UNIFIL;430;28;Nutrição;4113700;LONDRINA;41
8960;FAMEMA;431;12;Medicina;3529005;MARILIA;35
8961;FAMEMA;431;23;Enfermagem;3529005;MARILIA;35
9018;IPA;4010;36;Fisioterapia;4314902;PORTO ALEGRE;43
9035;UNIPAR;437;6;Odontologia;4128104;UMUARAMA;41
9044;UNIPAR;437;5;Medicina Veterinária;4128104;UMUARAMA;41
9094;FAFRAM;439;17;Agronomia;3524105;ITUVERAVA;35
